,burnout,impact,apogeeAlt,apogeeTime
0,48.2,198.9580527816,43948.761216167724,123.715
1,54.505,251.77814898030002,65405.35602298948,150.925
2,50.34,212.67334982170001,50123.72931138099,132.185
3,53.805,247.4423925368,62507.0637489351,147.57
4,50.35,216.7617845467,50163.217779952494,132.235
5,53.25,242.611575281,60321.31258080333,144.99
6,52.25,234.2629710084,56584.92828247398,140.445
7,51.535,225.33240778500002,54056.401710430124,137.28
8,52.98,236.0837385181,59289.81988032125,143.75
9,49.305,205.56729609980002,47013.92283527158,127.995
10,50.325,196.87449739960002,42560.23535995725,123.605
11,56.97,250.9736023076,64085.22344297178,151.535
12,52.585,211.08343404020002,48786.614379935956,132.37
13,56.225,246.5219523282,61170.38732681087,148.095
14,52.59,215.1743672778,48794.89029149963,132.385
15,55.635,241.5532192725,58960.96726639519,145.43
16,54.585,233.0228577057,55212.942361967645,140.78
17,53.835,223.9668405991,52701.815119030456,137.565
18,55.36,234.9960359958,57961.80789029548,144.205
19,51.495,203.71874977250002,45645.47735971737,128.035
20,47.205,200.0497267405,44651.35936337216,123.83
21,53.36,252.50855271880002,66194.8919650679,150.82
22,49.29,213.79210446070002,50903.90412060079,132.285
23,52.67,248.20241442690002,63291.13846758171,147.5
24,49.305,217.8735102748,50959.23644111846,132.355
25,52.125,243.36218277060001,61081.62508330535,144.91
26,51.165,235.1789301299,57380.33169032886,140.46
27,50.465,226.327081856,54845.990159224595,137.325
28,51.87,236.93260510020002,60066.882097463116,143.705
29,48.275,206.719627811,47771.91916207398,128.125
30,49.725,197.3880814183,42922.864830818435,123.6
31,56.275,251.1316268017,64423.98095499973,151.33
32,51.955,211.4860911776,49143.59321012861,132.295
33,55.54,246.71527887390002,61515.48172457462,147.915
34,51.955,215.5119144724,49135.86002549125,132.285
35,54.96,241.7590735645,59302.01805233512,145.255
36,53.925,233.2803097835,55558.81201932945,140.635
37,53.19,224.2888105305,53055.7878237295,137.45
38,54.69,235.2261364069,58301.59088334837,144.04
39,50.875,204.1296866046,45988.687341621684,127.97
40,44.885,202.715543179,46366.25041533435,124.155
41,50.675,255.15555570360002,68517.497456561,151.06
42,46.85,217.02867050810002,53008.81750712936,132.83
43,50.035,250.9946751619,65627.95416414062,147.845
44,46.88,221.1023675673,53110.21575085379,132.96
45,49.525,246.29015688380002,63422.09185801519,145.34
46,48.615,238.2482150277,59683.08581321965,140.98
47,47.95,229.4904067074,57080.943656813535,137.865
48,49.27,239.90735387470002,62354.52443770109,144.11
49,45.895,209.6577275667,49670.331268672715,128.55
50,49.155,197.91867098010002,43284.48168691502,123.615
51,55.615,251.3461899245,64776.41137145686,151.165
52,51.35,211.8407352783,49474.56980272113,132.21
53,54.895,246.9404983643,61863.27717430899,147.76
54,51.355,215.9285799094,49498.24692288582,132.24
55,54.32,242.0199435737,59655.9252815797,145.13
56,53.3,233.6037864356,55921.75497869991,140.54
57,52.565,224.57514842010002,53386.350256399644,137.335
58,54.055,235.5127029331,58654.439377636314,143.915
59,50.285,204.59763776,46344.45458963661,127.945
60,52.65,195.661610337,41441.95072638247,124.03
61,59.63,250.8780738373,63024.54880724394,152.585
62,55.04,210.42734755,47755.49526011078,133.12
63,58.845,246.3313900782,60098.478259122574,149.085
64,55.035,214.5205690694,47739.682470288695,133.095
65,58.225,241.29049541610001,57889.77107492907,146.37
66,57.12,232.61828345610002,54137.87289149535,141.63
67,56.35,223.5114343871,51661.91506973419,138.4
68,57.945,234.6789761194,56904.402095578116,145.14
69,53.885,202.8060720912,44576.33961254365,128.635
70,46.05,201.4292128596,45520.22793517468,124.015
71,52.015,253.65521108040002,67265.73750432607,150.85
72,48.07,215.3662797195,51931.855224724684,132.535
73,51.35,249.4107616134,64365.357220205166,147.575
74,48.09,219.45148869070002,52012.92093022558,132.64
75,50.825,244.6478515738,62163.4290779595,145.035
76,49.88,236.475149827,58420.39146239968,140.6
77,49.205,227.792845088,55907.279416010024,137.535
78,50.565,238.1824385166,61099.12630680985,143.785
79,47.09,208.21282165370002,48723.84634510015,128.345
80,46.56,200.7869627539,45122.46739354263,123.915
81,52.61,253.0903418961,66763.02343146104,150.81
82,48.61,214.67525516,51476.778998821814,132.425
83,51.935,248.8161409696,63860.52197009496,147.51
84,48.63,218.7245463308,51533.04513780384,132.5
85,51.4,244.0365926574,61663.35145563992,144.96
86,50.445,235.8310301041,57927.638677647985,140.5
87,49.76,227.0737876489,55406.16834094912,137.41
88,51.145,237.6230830572,60637.05919617863,143.75
89,47.615,207.53583873350001,48294.57359114521,128.24
90,51.17,196.32424653520002,42113.947588895215,123.705
91,57.93,250.8407628304,63654.07852274336,151.865
92,53.48,210.78032886210002,48385.89222498464,132.61
93,57.175,246.3759845337,60745.00550120137,148.415
94,53.47,214.79007741130002,48354.14398255843,132.565
95,56.575,241.3631151259,58529.32882354678,145.72
96,55.505,232.796293787,54787.30272507984,141.05
97,54.74,223.6703116401,52270.4969787606,137.8
98,56.295,234.775363703,57531.85208529783,144.49
99,52.36,203.2716951909,45213.93426930637,128.195
